Slosh Data ,Height Data (h1-h2),Phi (atan(h1-h2/dia)
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.19,-0.96,-0.08
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.19,-0.96,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.19,-0.96,-0.08
-0.13,-0.59,-0.05
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.13,-0.59,-0.05
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.18,-0.90,-0.08
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.19,-0.96,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.13,-0.59,-0.05
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.13,-0.59,-0.05
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.13,-0.59,-0.05
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.19,-0.96,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.19,-0.96,-0.08
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.07,-0.22,-0.02
-0.1,-0.4,-0.0
-0.08,-0.28,-0.02
-0.08,-0.28,-0.02
-0.12,-0.53,-0.04
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.34,-1.89,-0.16
-0.58,-3.38,-0.28
-0.72,-4.25,-0.35
-0.91,-5.42,-0.43
-1.04,-6.23,-0.49
-1.28,-7.71,-0.58
-1.41,-8.52,-0.63
-1.55,-9.39,-0.67
-1.63,-9.88,-0.70
-1.83,-11.12,-0.76
-2.16,-13.17,-0.84
-2.2,-13.4,-0.8
-2.19,-13.35,-0.85
-2.23,-13.60,-0.86
-2.2,-13.4,-0.8
-2.08,-12.67,-0.82
-2.06,-12.55,-0.82
-2.07,-12.61,-0.82
-2.06,-12.55,-0.82
-1.94,-11.80,-0.79
-1.25,-7.53,-0.57
-0.58,-3.38,-0.28
0.17,1.27,0.11
0.7,4.6,0.4
1.04,6.66,0.51
1.29,8.21,0.61
1.42,9.01,0.65
1.48,9.39,0.67
1.5,9.5,0.7
1.5,9.5,0.7
1.51,9.57,0.68
1.47,9.32,0.67
1.44,9.14,0.66
1.39,8.83,0.64
1.33,8.46,0.62
1.28,8.15,0.60
1.23,7.84,0.59
1.2,7.7,0.6
1.15,7.34,0.56
1.05,6.72,0.52
0.65,4.24,0.35
0.26,1.83,0.15
-0.12,-0.53,-0.04
-0.42,-2.39,-0.20
-0.64,-3.75,-0.31
-0.8,-4.7,-0.4
-0.95,-5.67,-0.45
-1.05,-6.29,-0.49
-1.14,-6.85,-0.53
-1.24,-7.47,-0.56
-1.33,-8.02,-0.60
-1.4,-8.5,-0.6
-1.43,-8.64,-0.63
-1.39,-8.40,-0.62
-1.17,-7.03,-0.54
-0.98,-5.86,-0.46
-0.68,-4.00,-0.33
-0.37,-2.08,-0.17
-0.08,-0.28,-0.02
0.15,1.14,0.10
0.36,2.45,0.20
0.54,3.56,0.29
0.6,3.9,0.3
0.64,4.18,0.34
0.67,4.37,0.35
0.64,4.18,0.34
0.6,3.9,0.3
0.61,4.00,0.33
0.56,3.69,0.30
0.54,3.56,0.29
0.49,3.25,0.27
0.41,2.76,0.23
0.31,2.14,0.18
0.18,1.33,0.11
-0.03,0.03,0.00
-0.21,-1.09,-0.09
-0.42,-2.39,-0.20
-0.67,-3.94,-0.32
-0.87,-5.17,-0.41
-0.96,-5.73,-0.45
-1.01,-6.04,-0.47
-1.09,-6.54,-0.51
-1.13,-6.79,-0.52
-1.15,-6.91,-0.53
-1.15,-6.91,-0.53
-1.13,-6.79,-0.52
-0.99,-5.92,-0.46
-0.73,-4.31,-0.35
-0.37,-2.08,-0.17
-0.04,-0.03,-0.00
0.31,2.14,0.18
0.6,3.9,0.3
0.84,5.42,0.43
1.01,6.47,0.50
1.13,7.22,0.55
1.17,7.46,0.56
1.18,7.53,0.57
1.21,7.71,0.58
1.15,7.34,0.56
1.15,7.34,0.56
1.1,7.0,0.5
1.02,6.54,0.51
0.88,5.67,0.45
0.74,4.80,0.39
0.54,3.56,0.29
0.3,2.1,0.2
0.12,0.96,0.08
-0.05,-0.09,-0.01
-0.23,-1.21,-0.10
-0.34,-1.89,-0.16
-0.47,-2.70,-0.22
-0.6,-3.5,-0.3
-0.71,-4.18,-0.34
-0.79,-4.68,-0.38
-0.87,-5.17,-0.41
-0.89,-5.30,-0.42
-0.86,-5.11,-0.41
-0.77,-4.56,-0.37
-0.54,-3.13,-0.26
-0.17,-0.84,-0.07
0.15,1.14,0.10
0.45,3.00,0.25
0.8,5.2,0.4
1.04,6.66,0.51
1.14,7.28,0.55
1.22,7.77,0.58
1.25,7.96,0.59
1.25,7.96,0.59
1.17,7.46,0.56
1.14,7.28,0.55
1.06,6.78,0.52
0.98,6.29,0.49
0.89,5.73,0.45
0.83,5.36,0.43
0.74,4.80,0.39
0.63,4.12,0.34
0.5,3.3,0.3
0.3,2.1,0.2
0.08,0.71,0.06
-0.22,-1.15,-0.10
-0.51,-2.94,-0.24
-0.82,-4.86,-0.39
-1.01,-6.04,-0.47
-1.16,-6.97,-0.53
-1.26,-7.59,-0.57
-1.29,-7.78,-0.58
-1.32,-7.96,-0.59
-1.35,-8.15,-0.60
-1.32,-7.96,-0.59
-1.2,-7.2,-0.5
-1.05,-6.29,-0.49
-0.84,-4.99,-0.40
-0.6,-3.5,-0.3
-0.34,-1.89,-0.16
-0.14,-0.65,-0.06
0.06,0.59,0.05
0.28,1.95,0.16
0.41,2.76,0.23
0.48,3.19,0.26
0.54,3.56,0.29
0.57,3.75,0.31
0.59,3.87,0.32
0.57,3.75,0.31
0.5,3.3,0.3
0.45,3.00,0.25
0.36,2.45,0.20
0.22,1.58,0.13
0.08,0.71,0.06
-0.02,0.09,0.01
-0.18,-0.90,-0.08
-0.37,-2.08,-0.17
-0.5,-2.9,-0.2
-0.6,-3.5,-0.3
-0.73,-4.31,-0.35
-0.8,-4.7,-0.4
-0.83,-4.93,-0.40
-0.91,-5.42,-0.43
-0.89,-5.30,-0.42
-0.87,-5.17,-0.41
-0.83,-4.93,-0.40
-0.83,-4.93,-0.40
-0.76,-4.49,-0.36
-0.61,-3.56,-0.29
-0.34,-1.89,-0.16
-0.04,-0.03,-0.00
0.27,1.89,0.16
0.56,3.69,0.30
0.8,5.2,0.4
0.94,6.04,0.47
0.99,6.35,0.49
1.02,6.54,0.51
1.03,6.60,0.51
1.02,6.54,0.51
0.92,5.92,0.46
0.87,5.61,0.44
0.79,5.11,0.41
0.71,4.61,0.37
0.59,3.87,0.32
0.49,3.25,0.27
0.35,2.38,0.20
0.16,1.21,0.10
-0.04,-0.03,-0.00
-0.22,-1.15,-0.10
-0.41,-2.32,-0.19
-0.56,-3.25,-0.27
-0.72,-4.25,-0.35
-0.85,-5.05,-0.40
-0.92,-5.48,-0.44
-0.97,-5.79,-0.46
-0.96,-5.73,-0.45
-0.93,-5.55,-0.44
-0.85,-5.05,-0.40
-0.78,-4.62,-0.37
-0.63,-3.69,-0.30
-0.42,-2.39,-0.20
-0.21,-1.09,-0.09
-0.03,0.03,0.00
0.2,1.5,0.1
0.35,2.38,0.20
0.48,3.19,0.26
0.58,3.81,0.31
0.65,4.24,0.35
0.67,4.37,0.35
0.65,4.24,0.35
0.64,4.18,0.34
0.55,3.62,0.30
0.48,3.19,0.26
0.42,2.82,0.23
0.35,2.38,0.20
0.21,1.52,0.13
0.09,0.77,0.07
-0.05,-0.09,-0.01
-0.22,-1.15,-0.10
-0.39,-2.20,-0.18
-0.54,-3.13,-0.26
-0.67,-3.94,-0.32
-0.78,-4.62,-0.37
-0.83,-4.93,-0.40
-0.87,-5.17,-0.41
-0.89,-5.30,-0.42
-0.89,-5.30,-0.42
-0.88,-5.24,-0.42
-0.87,-5.17,-0.41
-0.82,-4.86,-0.39
-0.72,-4.25,-0.35
-0.57,-3.32,-0.27
-0.4,-2.3,-0.2
-0.21,-1.09,-0.09
0,0.215613382899628,0.0182702874185419
0.2,1.5,0.1
0.38,2.57,0.21
0.48,3.19,0.26
0.54,3.56,0.29
0.55,3.62,0.30
0.57,3.75,0.31
0.55,3.62,0.30
0.54,3.56,0.29
0.48,3.19,0.26
0.37,2.51,0.21
0.25,1.76,0.15
0.12,0.96,0.08
-0.05,-0.09,-0.01
-0.2,-1.0,-0.1
-0.35,-1.95,-0.16
-0.47,-2.70,-0.22
-0.61,-3.56,-0.29
-0.71,-4.18,-0.34
