c1,c2,c1-c2,h1,h2,H1-h2,Phi,H2 adjusted ,H1-h2 adjusted,
1.64,1.61,0.03,11.05,11.13,-0.09,-0.01,9.13,1.92,
1.58,1.36,0.22,10.93,10.61,0.32,0.03,8.61,2.32,
1.41,1.53,-0.12,10.59,10.96,-0.38,-0.03,8.96,1.63,
1.38,1.65,-0.27,10.53,11.22,-0.69,-0.06,9.22,1.31,
1.41,1.79,-0.38,10.59,11.51,-0.92,-0.08,9.51,1.08,
1.15,1.99,-0.84,10.07,11.93,-1.87,-0.16,9.93,0.14,
1.04,2.23,-1.19,9.85,12.44,-2.59,-0.22,10.44,-0.59,
0.97,2.33,-1.36,9.71,12.65,-2.94,-0.24,10.65,-0.94,
0.79,2.4,-1.61,9.35,12.8,-3.44824413909052,-0.284307743948489,10.8,-1.45,
0.88,2.34,-1.46,9.53,12.67,-3.14,-0.26,10.67,-1.14,
0.56,2.47,-1.91,8.89,12.95,-4.05,-0.33,10.95,-2.06,
0.44,2.47,-2.03,8.65,12.95,-4.29,-0.35,10.95,-2.30,
0.41,2.4,-1.99,8.59,12.8,-4.2065758094158,-0.342444350733615,10.8,-2.21,
0.19,2.3,-2.11,8.15,12.6,-4.43477291135967,-0.359496576882894,10.6,-2.45,
0.09,2.28,-2.19,7.95,12.55,-4.59,-0.37,10.55,-2.60,
-0.17,2.01,-2.18,7.44,11.98,-4.54,-0.37,9.98,-2.54,
-0.26,1.87,-2.13,7.26,11.68,-4.43,-0.36,9.68,-2.42,
-0.23,1.71,-1.94,7.32,11.34,-4.03,-0.33,9.34,-2.02,
0.02,1.84,-1.82,7.81,11.62,-3.80,-0.31,9.62,-1.81,
0.45,1.86,-1.41,8.67,11.66,-2.99,-0.25,9.66,-0.99,
0.82,1.76,-0.94,9.41,11.45,-2.04,-0.17,9.45,-0.04,
0.81,1.74,-0.93,9.39,11.41,-2.02,-0.17,9.41,-0.02,
1.29,1.66,-0.37,10.35,11.24,-0.89,-0.08,9.24,1.11,
1.55,1.59,-0.04,10.87,11.09,-0.22,-0.02,9.09,1.78,
1.57,1.54,0.03,10.91,10.99,-0.08,-0.01,8.99,1.92,
1.65,1.48,0.17,11.07,10.86,0.21,0.02,8.86,2.21,
1.46,1.44,0.02,10.69,10.78,-0.09,-0.01,8.78,1.91,
1.67,1.35,0.32,11.11,10.59,0.52,0.04,8.59,2.52,
1.54,1.14,0.40,10.85,10.14,0.71,0.06,8.14,2.71,
1.58,1.13,0.45,10.93,10.12,0.81,0.07,8.12,2.81,
1.45,1.12,0.33,10.67,10.10,0.57,0.05,8.10,2.57,
1.26,1.03,0.23,10.29,9.91,0.38,0.03,7.91,2.38,
0.99,0.79,0.20,9.75,9.40,0.35,0.03,7.40,2.35,
1.03,0.93,0.10,9.83,9.70,0.13,0.01,7.70,2.13,
0.84,1.15,-0.31,9.45,10.16,-0.71,-0.06,8.16,1.29,
0.87,1.33,-0.46,9.51,10.54,-1.03,-0.09,8.54,0.97,
0.65,1.61,-0.96,9.07,11.13,-2.06,-0.17,9.13,-0.06,
0.65,1.93,-1.28,9.07,11.81,-2.74,-0.23,9.81,-0.74,
0.51,2.25,-1.74,8.79,12.48,-3.69,-0.30,10.48,-1.69,
0.62,2.32,-1.70,9.01,12.63,-3.62,-0.30,10.63,-1.62,
0.43,2.53,-2.10,8.63,13.07,-4.44,-0.36,11.07,-2.44,
0.22,2.38,-2.16,8.21,12.76,-4.54,-0.37,10.76,-2.55,
0.16,2.51,-2.35,8.09,13.03,-4.94,-0.40,11.03,-2.94,
0,2.3,-2.3,7.77429654759529,12.6,-4.81393874652231,-0.38735033639387,10.6,-2.82570345240471,
-0.07,2.45,-2.52,7.63,12.90,-5.27,-0.42,10.90,-3.27,
-0.26,2.27,-2.53,7.26,12.52,-5.27,-0.42,10.52,-3.26,
-0.24,2.07,-2.31,7.30,12.10,-4.81,-0.39,10.10,-2.80,
-0.34,2,-2.34,7.10,11.9557242251739,-4.85993496155386,-0.390687575549355,9.9557242251739,-2.8557242251739,
-0.38,1.94,-2.32,7.02,11.83,-4.81,-0.39,9.83,-2.81,
-0.11,1.98,-2.09,7.55,11.91,-4.36,-0.35,9.91,-2.36,
0.23,1.8,-1.57,8.23,11.5,-3.30076341010354,-0.272754338464344,9.5,-1.27,
0.51,1.71,-1.20,8.79,11.34,-2.55,-0.21,9.34,-0.55,
0.7,1.75,-1.05,9.2,11.43,-2.25740835900009,-0.18902194056743,9.43,-0.23,
1.08,1.71,-0.63,9.93,11.34,-1.41,-0.12,9.34,0.59,
1.44,1.67,-0.23,10.65,11.26,-0.61,-0.05,9.26,1.39,
1.62,1.52,0.10,11.01,10.94,0.06,0.01,8.94,2.07,
1.57,1.52,0.05,10.91,10.94,-0.04,0.00,8.94,1.97,
1.59,1.61,-0.02,10.95,11.13,-0.19,-0.02,9.13,1.82,
1.62,1.44,0.18,11.01,10.78,0.23,0.02,8.78,2.23,
1.61,1.23,0.38,10.99,10.33,0.65,0.06,8.33,2.66,
1.39,1.27,0.12,10.55,10.42,0.13,0.01,8.42,2.13,
1.38,1.14,0.24,10.53,10.14,0.39,0.03,8.14,2.39,
1.38,0.97,0.41,10.53,9.78,0.74,0.06,7.78,2.75,
1.13,0.87,0.26,10.03,9.57,0.46,0.04,7.57,2.46,
1.03,0.83,0.20,9.83,9.49,0.34,0.03,7.49,2.34,
1.06,1.02,0.04,9.89,9.89,0.00,0.00,7.89,2.00,
0.99,1.07,-0.08,9.75,9.99,-0.24,-0.02,7.99,1.76,
0.79,1.33,-0.54,9.35,10.54,-1.19,-0.10,8.54,0.81,
0.71,1.69,-0.98,9.19,11.30,-2.11,-0.18,9.30,-0.11,
0.68,2,-1.32,9.13,11.9557242251739,-2.8244131096281,-0.234936952584948,9.9557242251739,-0.8257242251739,
0.59,2.24,-1.65,8.95,12.46,-3.51,-0.29,10.46,-1.51,
0.44,2.27,-1.83,8.65,12.52,-3.87,-0.32,10.52,-1.87,
0.23,2.46,-2.23,8.23,12.93,-4.69,-0.38,10.93,-2.70,
0.18,2.33,-2.15,8.13,12.65,-4.52,-0.37,10.65,-2.52,
0.06,2.39,-2.33,7.89,12.78,-4.88,-0.39,10.78,-2.89,
-0.04,2.36,-2.40,7.69,12.71,-5.02,-0.40,10.71,-3.02,
0.01,2.29,-2.28,7.79,12.57,-4.77,-0.38,10.57,-2.78,
-0.27,2.1,-2.37,7.24,12.2,-4.93107930842261,-0.395831396540576,10.2,-2.96,
-0.34,1.92,-2.26,7.10,11.79,-4.69,-0.38,9.79,-2.69,
-0.23,1.93,-2.16,7.32,11.81,-4.49,-0.36,9.81,-2.49,
-0.3,1.88,-2.18,7.2,11.70,-4.52710614762643,-0.366335252847466,9.70,-2.5,
-0.11,1.74,-1.85,7.55,11.41,-3.85,-0.32,9.41,-1.86,
0.03,1.64,-1.61,7.83,11.20,-3.36,-0.28,9.20,-1.37,
0.18,1.8,-1.62,8.13,11.5,-3.40054389304107,-0.280579350486197,9.5,-1.37,
0.48,1.58,-1.10,8.73,11.07,-2.34,-0.20,9.07,-0.34,
0.74,1.36,-0.62,9.25,10.61,-1.36,-0.11,8.61,0.64,
0.87,1.57,-0.70,9.51,11.05,-1.54,-0.13,9.05,0.46,
1.19,1.55,-0.36,10.15,11.01,-0.86,-0.07,9.01,1.14,
1.16,1.43,-0.27,10.09,10.75,-0.66,-0.06,8.75,1.34,
1.27,1.24,0.03,10.31,10.35,-0.04,0.00,8.35,1.96,
1.18,1.38,-0.20,10.13,10.65,-0.52,-0.04,8.65,1.48,
1.22,1.29,-0.07,10.21,10.46,-0.25,-0.02,8.46,1.75,
1.19,0.96,0.23,10.15,9.76,0.39,0.03,7.76,2.39,
1.01,1,0.01,9.79,9.84735399536159,-0.05749169242804,-0.00487213877286244,7.84735399536159,1.94264600463841,
0.97,0.99,-0.02,9.71,9.83,-0.12,-0.01,7.83,1.88,
0.82,0.99,-0.17,9.41,9.83,-0.42,-0.04,7.83,1.58,
0.67,1.07,-0.40,9.11,9.99,-0.88,-0.07,7.99,1.12,
0.54,1.43,-0.89,8.85,10.75,-1.90,-0.16,8.75,0.10,
0.55,1.59,-1.04,8.87,11.09,-2.22,-0.19,9.09,-0.22,
0.45,1.75,-1.30,8.67,11.43,-2.76,-0.23,9.43,-0.76,
0.25,1.78,-1.53,8.27,11.49,-3.22,-0.27,9.49,-1.22,
0.19,2.17,-1.98,8.15,12.31,-4.16,-0.34,10.31,-2.16,
0.1,1.88,-1.78,8.0,11.70,-3.72886228412613,-0.306075094688385,9.70,-1.7,
0.14,2.14,-2.00,8.05,12.25,-4.20,-0.34,10.25,-2.20,
-0.05,2,-2.05,7.67,11.9557242251739,-4.28120816051615,-0.348044712366553,9.9557242251739,-2.2857242251739,
-0.28,2.1,-2.38,7.22,12.2,-4.95103540501012,-0.397270297219399,10.2,-2.98,
-0.5,1.92,-2.42,6.8,11.79,-5.01056288856908,-0.401552106594606,9.79,-2.99,
-0.3,1.71,-2.01,7.2,11.34,-4.16868320855833,-0.339592308236832,9.34,-2.14,
-0.31,1.6,-1.91,7.16,11.1,-3.95671857986644,-0.32353311320296,9.1,-1.94,
-0.47,1.55,-2.02,6.84,11.01,-4.17,-0.34,9.01,-2.17,
-0.36,1.56,-1.92,7.06,11.03,-3.97,-0.32,9.03,-1.97,
-0.35,1.33,-1.68,7.08,10.54,-3.47,-0.29,8.54,-1.46,
-0.05,1.28,-1.33,7.67,10.44,-2.76,-0.23,8.44,-0.77,
0.08,1.4,-1.32,7.93,10.7,-2.75675676699115,-0.229507057173865,8.7,-0.77,
0.38,1.34,-0.96,8.53,10.56,-2.03,-0.17,8.56,-0.03,
0.77,1.38,-0.61,9.31,10.65,-1.34,-0.11,8.65,0.66,
0.69,1.26,-0.57,9.15,10.40,-1.24,-0.11,8.40,0.75,
1.05,1.28,-0.23,9.87,10.44,-0.57,-0.05,8.44,1.43,
1.11,1.16,-0.05,9.99,10.18,-0.20,-0.02,8.18,1.81,
1.12,0.88,0.24,10.01,9.59,0.42,0.04,7.59,2.42,
1.09,0.92,0.17,9.95,9.68,0.27,0.02,7.68,2.27,
1.02,0.87,0.15,9.81,9.57,0.24,0.02,7.57,2.24,
0.94,0.86,0.08,9.65,9.55,0.10,0.01,7.55,2.10,
0.83,0.68,0.15,9.43,9.17,0.26,0.02,7.17,2.26,
0.89,0.82,0.07,9.55,9.47,0.08,0.01,7.47,2.08,
0.85,0.68,0.17,9.47,9.17,0.30,0.03,7.17,2.30,
0.59,0.63,-0.04,8.95,9.07,-0.12,-0.01,7.07,1.88,
0.43,0.7,-0.27,8.63,9.2,-0.58243422555977,-0.0493188069516824,7.2,1.43,
0.55,0.87,-0.32,8.87,9.57,-0.70,-0.06,7.57,1.30,
0.34,1.15,-0.81,8.45,10.16,-1.71,-0.14,8.16,0.29,
0.23,1.24,-1.01,8.23,10.35,-2.12,-0.18,8.35,-0.12,
0.04,1.46,-1.42,7.85,10.82,-2.96,-0.25,8.82,-0.97,
0.15,1.76,-1.61,8.07,11.45,-3.38,-0.28,9.45,-1.38,
0,1.86,-1.86,7.77429654759529,11.66,-3.88625584540491,-0.318155611271262,9.66,-1.88570345240471,
-0.05,1.98,-2.03,7.67,11.91,-4.24,-0.34,9.91,-2.24,
-0.16,2.19,-2.35,7.45,12.36,-4.90,-0.39,10.36,-2.91,
-0.16,1.83,-1.99,7.45,11.60,-4.14,-0.34,9.60,-2.15,
-0.27,1.95,-2.22,7.24,11.85,-4.61,-0.37,9.85,-2.61,
-0.51,1.87,-2.38,6.76,11.68,-4.93,-0.40,9.68,-2.92,
-0.41,1.84,-2.25,6.96,11.62,-4.66,-0.38,9.62,-2.66,
-0.4,1.82,-2.22,7.0,11.58,-4.60016489971271,-0.371721081087463,9.58,-2.58,
-0.37,1.59,-1.96,7.04,11.09,-4.06,-0.33,9.09,-2.05,
-0.37,1.53,-1.90,7.04,10.96,-3.93,-0.32,8.96,-1.92,
-0.24,1.55,-1.79,7.30,11.01,-3.71,-0.30,9.01,-1.71,
-0.04,1.51,-1.55,7.69,10.92,-3.23,-0.27,8.92,-1.23,
0.19,1.24,-1.05,8.15,10.35,-2.20,-0.18,8.35,-0.20,
0.33,1.35,-1.02,8.43,10.59,-2.15,-0.18,8.59,-0.16,
0.48,1.34,-0.86,8.73,10.56,-1.83,-0.15,8.56,0.17,
0.7,1.22,-0.52,9.2,10.31,-1.13997213719949,-0.0963089310245143,8.31,0.89,
0.71,1.14,-0.43,9.19,10.14,-0.95,-0.08,8.14,1.05,
0.79,1.04,-0.25,9.35,9.93,-0.58,-0.05,7.93,1.42,
0.77,1.15,-0.38,9.31,10.16,-0.85,-0.07,8.16,1.15,
0.7,0.83,-0.13,9.2,9.49,-0.31770774757268,-0.0269178821846942,7.49,1.71,
0.65,0.84,-0.19,9.07,9.51,-0.44,-0.04,7.51,1.56,
0.64,0.71,-0.07,9.05,9.24,-0.18,-0.02,7.24,1.81,
0.59,0.77,-0.18,8.95,9.36,-0.41,-0.03,7.36,1.59,
0.55,0.73,-0.18,8.87,9.28,-0.41,-0.03,7.28,1.59,
0.39,0.74,-0.35,8.55,9.30,-0.75,-0.06,7.30,1.25,
0.11,0.86,-0.75,7.99,9.55,-1.56,-0.13,7.55,0.44,
0.15,0.98,-0.83,8.07,9.81,-1.73,-0.15,7.81,0.26,
0.08,1.15,-1.07,7.93,10.16,-2.23,-0.19,8.16,-0.23,
0.04,1.22,-1.18,7.85,10.31,-2.46,-0.21,8.31,-0.46,
-0.18,1.56,-1.74,7.42,11.03,-3.61,-0.30,9.03,-1.61,
-0.14,1.68,-1.82,7.49,11.28,-3.79,-0.31,9.28,-1.79,
-0.1,1.71,-1.81,7.6,11.34,-3.76956127680818,-0.309207896553287,9.34,-1.74,
-0.37,1.79,-2.16,7.04,11.51,-4.48,-0.36,9.51,-2.47,
-0.31,1.73,-2.04,7.16,11.39,-4.23,-0.34,9.39,-2.23,
-0.38,1.67,-2.05,7.02,11.26,-4.24,-0.35,9.26,-2.24,
-0.55,1.62,-2.17,6.68,11.15,-4.48,-0.36,9.15,-2.47,
-0.48,1.71,-2.19,6.82,11.34,-4.53,-0.37,9.34,-2.52,
-0.5,1.51,-2.01,6.8,10.92,-4.14613109434598,-0.337892154590802,8.92,-2.12,
-0.54,1.54,-2.08,6.70,10.99,-4.29,-0.35,8.99,-2.29,
-0.53,1.32,-1.85,6.72,10.52,-3.81,-0.31,8.52,-1.80,
-0.47,1.28,-1.75,6.84,10.44,-3.60,-0.30,8.44,-1.60,
-0.21,1.47,-1.68,7.36,10.84,-3.48,-0.29,8.84,-1.48,
0.02,1.25,-1.23,7.81,10.37,-2.56,-0.21,8.37,-0.56,
0.07,1.09,-1.02,7.91,10.04,-2.12,-0.18,8.04,-0.13,
0.22,1.07,-0.85,8.21,9.99,-1.78,-0.15,7.99,0.22,
0.36,1.09,-0.73,8.49,10.04,-1.54,-0.13,8.04,0.45,
0.46,0.92,-0.46,8.69,9.68,-0.99,-0.08,7.68,1.01,
0.58,0.9,-0.32,8.93,9.6,-0.70476682270963,-0.0596551354350189,7.6,1.33,
0.65,0.83,-0.18,9.07,9.49,-0.42,-0.04,7.49,1.58,
0.81,0.68,0.13,9.39,9.17,0.22,0.02,7.17,2.22,
0.7,0.68,0.02,9.2,9.17,-0.00145221310082,-0.00012306890622782,7.17,2.03,
0.61,0.62,-0.01,8.99,9.05,-0.05,0.00,7.05,1.94,
0.56,0.72,-0.16,8.89,9.26,-0.37,-0.03,7.26,1.63,
0.45,0.62,-0.17,8.67,9.05,-0.37,-0.03,7.05,1.62,
0.39,0.5,-0.11,8.55,8.8,-0.24058456594733,-0.0203856981281001,6.8,1.75,
0.25,0.76,-0.51,8.27,9.34,-1.07,-0.09,7.34,0.93,
0.11,0.86,-0.75,7.99,9.55,-1.56,-0.13,7.55,0.44,
0.02,0.91,-0.89,7.81,9.66,-1.84,-0.15,7.66,0.15,
-0.04,1,-1.04,7.69,9.84735399536159,-2.15288183411633,-0.180462721670324,7.84735399536159,-0.15735399536159,
-0.07,1.21,-1.28,7.63,10.29,-2.66,-0.22,8.29,-0.66,
-0.03,1.28,-1.31,7.71,10.44,-2.72,-0.23,8.44,-0.73,
-0.28,1.51,-1.79,7.22,10.92,-3.71,-0.30,8.92,-1.70,
-0.48,1.58,-2.06,6.82,11.07,-4.25,-0.35,9.07,-2.25,
-0.38,1.83,-2.21,7.02,11.60,-4.58,-0.37,9.60,-2.58,
-0.32,1.65,-1.97,7.14,11.22,-4.08,-0.33,9.22,-2.08,
-0.52,1.57,-2.09,6.74,11.05,-4.31,-0.35,9.05,-2.31,
-0.57,1.69,-2.26,6.64,11.30,-4.67,-0.38,9.30,-2.66,
-0.45,1.52,-1.97,6.88,10.94,-4.07,-0.33,8.94,-2.06,
-0.65,1.39,-2.04,6.48,10.67,-4.19,-0.34,8.67,-2.19,
-0.62,1.35,-1.97,6.54,10.59,-4.05,-0.33,8.59,-2.05,
-0.62,1.37,-1.99,6.54,10.63,-4.09,-0.33,8.63,-2.09,
-0.44,1.08,-1.52,6.90,10.02,-3.12,-0.26,8.02,-1.12,
-0.16,1.25,-1.41,7.45,10.37,-2.92,-0.24,8.37,-0.92,
-0.21,1.02,-1.23,7.36,9.89,-2.53,-0.21,7.89,-0.53,
0.02,1.19,-1.17,7.81,10.25,-2.43,-0.20,8.25,-0.44,
0.2,1.2,-1.0,8.2,10.3,-2.1,-0.2,8.3,-0.1,
0.49,0.96,-0.47,8.75,9.76,-1.01,-0.09,7.76,0.99,
0.39,0.91,-0.52,8.55,9.66,-1.11,-0.09,7.66,0.89,
0.58,0.72,-0.14,8.93,9.26,-0.33,-0.03,7.26,1.67,
0.67,0.83,-0.16,9.11,9.49,-0.38,-0.03,7.49,1.62,
0.62,0.62,0.00,9.01,9.05,-0.03,0.00,7.05,1.96,
0.73,0.62,0.11,9.23,9.05,0.18,0.02,7.05,2.18,
0.51,0.67,-0.16,8.79,9.15,-0.36,-0.03,7.15,1.64,
0.49,0.57,-0.08,8.75,8.94,-0.19,-0.02,6.94,1.81,
0.44,0.58,-0.14,8.65,8.96,-0.31,-0.03,6.96,1.69,
0.24,0.52,-0.28,8.25,8.84,-0.58,-0.05,6.84,1.41,
0.17,0.64,-0.47,8.11,9.09,-0.97,-0.08,7.09,1.02,
0.03,0.76,-0.73,7.83,9.34,-1.51,-0.13,7.34,0.49,
-0.07,0.88,-0.95,7.63,9.59,-1.96,-0.16,7.59,0.04,
-0.23,0.93,-1.16,7.32,9.70,-2.38,-0.20,7.70,-0.38,
-0.24,1.18,-1.42,7.30,10.23,-2.93,-0.24,8.23,-0.93,
-0.21,1.19,-1.40,7.36,10.25,-2.89,-0.24,8.25,-0.89,
-0.32,1.25,-1.57,7.14,10.37,-3.24,-0.27,8.37,-1.23,
-0.35,1.39,-1.74,7.08,10.67,-3.59,-0.30,8.67,-1.59,
-0.38,1.44,-1.82,7.02,10.78,-3.76,-0.31,8.78,-1.76,
-0.47,1.41,-1.88,6.84,10.71,-3.88,-0.32,8.71,-1.87,
-0.59,1.38,-1.97,6.60,10.65,-4.05,-0.33,8.65,-2.05,
-0.46,1.4,-1.86,6.86,10.7,-3.83438598271655,-0.314184834158252,8.7,-1.84,
-0.62,1.35,-1.97,6.54,10.59,-4.05,-0.33,8.59,-2.05,
-0.61,1.34,-1.95,6.56,10.56,-4.01,-0.33,8.56,-2.00,
-0.62,1.19,-1.81,6.54,10.25,-3.71,-0.30,8.25,-1.71,
-0.43,1.09,-1.52,6.92,10.04,-3.12,-0.26,8.04,-1.12,
-0.27,1.22,-1.49,7.24,10.31,-3.08,-0.25,8.31,-1.07,
-0.15,0.95,-1.10,7.47,9.74,-2.27,-0.19,7.74,-0.27,
-0.05,1.07,-1.12,7.67,9.99,-2.32,-0.19,7.99,-0.32,
0.01,0.99,-0.98,7.79,9.83,-2.03,-0.17,7.83,-0.04,
0.44,0.88,-0.44,8.65,9.59,-0.94,-0.08,7.59,1.06,
0.19,0.74,-0.55,8.15,9.30,-1.15,-0.10,7.30,0.85,
0.27,0.68,-0.41,8.31,9.17,-0.86,-0.07,7.17,1.14,
0.34,0.85,-0.51,8.45,9.53,-1.08,-0.09,7.53,0.92,
0.4,0.69,-0.29,8.6,9.19,-0.62121881302417,-0.0525971058700899,7.19,1.41,
0.32,0.59,-0.27,8.41,8.98,-0.57,-0.05,6.98,1.43,
0.24,0.42,-0.18,8.25,8.62,-0.37,-0.03,6.62,1.63,
0.27,0.52,-0.25,8.31,8.84,-0.52,-0.04,6.84,1.47,
0.18,0.42,-0.24,8.13,8.62,-0.49,-0.04,6.62,1.51,
0.08,0.47,-0.39,7.93,8.73,-0.80,-0.07,6.73,1.20,
-0.09,0.64,-0.73,7.59,9.09,-1.49,-0.13,7.09,0.50,
-0.1,0.61,-0.71,7.6,9.03,-1.45035402401455,-0.122297959580193,7.03,0.57,
-0.11,0.87,-0.98,7.55,9.57,-2.02,-0.17,7.57,-0.02,
-0.31,0.91,-1.22,7.16,9.66,-2.50,-0.21,7.66,-0.50,
-0.31,1.2,-1.51,7.16,10.3,-3.11337048794154,-0.257966169289226,8.3,-1.14,
-0.3,1.24,-1.54,7.2,10.35,-3.17774920054653,-0.26306000926758,8.35,-1.15,
-0.51,1.13,-1.64,6.76,10.12,-3.36,-0.28,8.12,-1.36,
